RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
15249,Shots Fired/Illegal Hunting,202100006921,800,ANDERSON ST,CPD,2021/03/13 12:10:23+00,0710,"Young, Steven"
15253,Shots Fired/Illegal Hunting,202100006866,900,NASSAU ST,CPD,2021/03/13 03:21:06+00,2221,"Middleton, Matthew"
15311,Shots Fired/Illegal Hunting,202100006360,700,PROSPECT AVE,CPD,2021/03/08 05:21:25+00,0021,"Bise, Collin"
15341,Weapons Violations,202100006092,1500,VINE ST,CPD,2021/03/05 05:20:27+00,0020,"Blackwell, Ryan"
15560,Shots Fired/Illegal Hunting,202100004134,,2ND ST SE / GARRETT ST,CPD,2021/02/11 23:27:03+00,1827,"Bowers, Justin"
15585,Shots Fired/Illegal Hunting,202100003953,800,HARDY DR,CPD,2021/02/10 00:56:56+00,1956,"Arreguin, Arron"
15615,Shots Fired/Illegal Hunting,202100003774,800,W MAIN ST,CPD,2021/02/08 09:03:29+00,0403,"Vlasis, Christopher"
15659,Weapons Violations,202100003381,1600,GROVE RD,CPD,2021/02/04 19:27:01+00,1427,"KEPLINGER, CHRISTOPHER"
15660,Shots Fired/Illegal Hunting,202100003373,700,PROSPECT AVE,CPD,2021/02/04 18:47:27+00,1347,"Nash, Darius"
15700,Weapons Violations,202100003015,600,"ROCK CREEK RD, B",CPD,2021/01/31 02:25:14+00,2125,"Smith, Daniel"
15727,Shots Fired/Illegal Hunting,202100002784,1400,MELBOURNE RD,CPD,2021/01/28 20:37:30+00,1537,"Green, Bryan"
15752,Shots Fired/Illegal Hunting,202100002553,600,MASON ST,CPD,2021/01/26 06:35:03+00,0135,"Whitten, Tobyn"
15847,Shots Fired/Illegal Hunting,202100001530,500,"1ST ST S, 201",CPD,2021/01/16 03:55:25+00,2255,"Gower, Charles"
15880,Weapons Violations,202100001177,1600,EMMET ST N,CPD,2021/01/12 20:54:03+00,1554,"Via, Ryan"
15932,Shots Fired/Illegal Hunting,202100000510,600,"PROSPECT AVE, B",CPD,2021/01/06 21:43:19+00,1643,"Stein, Nathan"
15942,Shots Fired/Illegal Hunting,202100000454,700,PROSPECT AVE,CPD,2021/01/06 04:56:55+00,2356,"Wood, Joseph"
15944,Shots Fired/Illegal Hunting,202100000447,700,6TH ST SE,CPD,2021/01/06 02:41:27+00,2141,"Lowe, Courteny"
15955,Shots Fired/Illegal Hunting,202100000347,700,NASSAU ST,CPD,2021/01/05 03:51:56+00,2251,"Blackwell, Ryan"
15971,Robbery - Armed,202100000271,600,E MARKET ST,CPD,2021/01/04 08:42:12+00,0342,"Vlasis, Christopher"
15980,Shots Fired/Illegal Hunting,202100000164,700,6TH ST SE,CPD,2021/01/03 03:58:38+00,2258,"Groff, Hayden"
15996,Robbery - Armed,202000035969,300,RIDGE ST,CPD,2021/01/01 03:57:39+00,2257,"Blackwell, Ryan"
16084,Robbery - Armed,202000035065,700,ORANGEDALE AVE,CPD,2020/12/22 08:57:11+00,0357,"Blackwell, Kyle"
16143,Robbery - Armed,202000034522,,MONTICELLO AVE / 2ND ST SE,CPD,2020/12/17 10:58:46+00,0558,"Groff, Hayden"
16157,Weapons Violations,202000034338,1000,"LINDEN AVE, B",CPD,2020/12/15 17:53:42+00,1253,"Raines, Christopher"
16188,Weapons Violations,202000034060,1300,"CARLTON AVE, 112",CPD,2020/12/13 05:19:45+00,0019,"Groff, Hayden"
16189,Shots Fired/Illegal Hunting,202000034037,400,GARRETT ST,CPD,2020/12/13 03:33:55+00,2233,"Green, Bryan"
16285,Weapons Violations,202000033256,500,RIDGE ST,CPD,2020/12/06 06:18:05+00,0118,"Vlasis, Christopher"
16295,Shots Fired/Illegal Hunting,202000033121,,MICHIE DR / HYDRAULIC RD,CPD,2020/12/05 04:00:32+00,2300,"Gower, Charles"
16325,Shots Fired/Illegal Hunting,202000032840,700,NASSAU ST,CPD,2020/12/02 18:14:54+00,1314,"Pendleton, Eric"
16345,Weapons Violations,202000032665,1000,"PRESTON AVE, B",CPD,2020/12/01 04:18:02+00,2318,"Adams, Jonathan"
16346,Shots Fired/Illegal Hunting,202000032647,,PROSPECT AVE / ROCK CREEK RD,CPD,2020/12/01 03:09:33+00,2209,"Hudson, Michael"
16373,Shots Fired/Illegal Hunting,202000032432,,12TH ST NW / GRADY AVE,CPD,2020/11/29 01:21:57+00,2021,"Gower, Charles"
