RecordID,Offense,IncidentID,BlockNumber,StreetName,Agency,DateReported,HourReported,ReportingOfficer
20410,Robbery - Armed,201900036046,1000,W MAIN ST,CPD,2019/12/10 20:26:01+00,1526,"Smith, Daniel"
20463,Shots Fired/Illegal Hunting,201900035664,,GRADY AVE / 12TH ST NW,CPD,2019/12/07 04:08:24+00,2308,"Jaeger, Jeffrey"
20713,Shots Fired/Illegal Hunting,201900033777,2300,ANGUS RD,CPD,2019/11/18 01:36:52+00,2036,"Burchardt, Rudy"
20848,Weapons Violations,201900032684,100,OAK ST,CPD,2019/11/07 19:14:58+00,1414,"Thomas, Eric"
20874,Weapons Violations,201900032539,700,FRANKLIN ST,CPD,2019/11/06 11:05:03+00,0605,"Freivald, Jon"
20941,Weapons Violations,201900032073,800,"W MAIN ST, 100",CPD,2019/11/01 19:52:37+00,1552,"Thomas, Eric"
20963,Weapons Violations,201900031926,400,"GARRETT ST, H",CPD,2019/10/31 17:08:39+00,1308,"Johnston, Ernest"
20993,Shots Fired/Illegal Hunting,201900031701,600,BOLLING AVE,CPD,2019/10/29 22:40:35+00,1840,"Huber, Christopher"
21020,Shots Fired/Illegal Hunting,201900031587,,MONTICELLO AVE / 6TH ST SE,CPD,2019/10/29 00:36:38+00,2036,"TRAVERS, JOSHUA"
21033,Robbery - Armed,201900031477,800,"CABELL AVE, 3",CPD,2019/10/28 00:33:52+00,2033,"Chan, William"
21041,Shots Fired/Illegal Hunting,201900031423,800,ORANGEDALE AVE,CPD,2019/10/27 11:03:24+00,0703,"Bise, Collin"
21102,Shots Fired/Illegal Hunting,201900030900,700,PROSPECT AVE,CPD,2019/10/23 10:31:42+00,0631,"Jones, Mark"
21241,Weapons Violations,201900029945,,5TH ST SW / RIDGE ST,CPD,2019/10/14 21:03:16+00,1703,"Thelen, Rebecca"
21297,Shots Fired/Illegal Hunting,201900029572,900,RUGBY RD,CPD,2019/10/11 14:50:04+00,1050,"Oberholzer, Robbie"
21370,Shots Fired/Illegal Hunting,201900029018,400,GARRETT ST,CPD,2019/10/06 23:52:05+00,1952,"Gower, Charles"
21371,Robbery - Armed,201900029013,400,GARRETT ST,CPD,2019/10/06 22:20:54+00,1820,"Raines, Christopher"
21373,Weapons Violations,201900029005,600,E WATER ST,CPD,2019/10/06 20:14:28+00,1614,"Raines, Christopher"
21384,Shots Fired/Illegal Hunting,201900028947,400,GARRETT ST,CPD,2019/10/06 01:47:46+00,2147,"Jones, Larry"
21431,Shots Fired/Illegal Hunting,201900028553,100,LANKFORD AVE,CPD,2019/10/03 02:37:30+00,2237,"Blackwell, Ryan"
21881,Weapons Violations,201900025148,500,2ND ST SE,CPD,2019/09/02 18:32:25+00,1432,"KEPLINGER, CHRISTOPHER"
21884,Shots Fired/Illegal Hunting,201900025103,800,HARDY DR,CPD,2019/09/02 04:06:00+00,0006,"Hickey, Declan"
22137,Shots Fired/Illegal Hunting,201900023197,800,HARDY DR,CPD,2019/08/16 05:07:18+00,0107,"Reed, Patrick"
22249,Robbery - Armed,201900022028,100,10 1/2 ST NW / PAGE ST,CPD,2019/08/05 20:08:02+00,1608,"Quinlan, Richard"
22347,Robbery - Armed,201900021307,200,2ND ST NE,CPD,2019/07/30 04:33:59+00,0033,"Stayments, Ronald "
22379,Shots Fired/Illegal Hunting,201900020950,100,"W MAIN ST, 1",CPD,2019/07/26 13:44:50+00,0944,"Newton, Arla"
22392,Weapons Violations,201900020879,200,W MAIN ST,CPD,2019/07/25 20:41:28+00,1641,"Houchens, Logan"
22451,Shots Fired/Illegal Hunting,201900020273,,10TH ST NW / ANDERSON ST,CPD,2019/07/20 06:47:42+00,0247,"FLURY, MICHAEL"
22452,Shots Fired/Illegal Hunting,201900020272,800,ROSE HILL DR,CPD,2019/07/20 06:25:22+00,0225,"Zhang, Kai"
22493,Shots Fired/Illegal Hunting,201900019860,400,GARRETT ST,CPD,2019/07/16 05:20:00+00,0120,"Arreguin, Arron"
22518,Shots Fired/Illegal Hunting,201900019692,1200,EMMET ST N,CPD,2019/07/14 08:21:42+00,0421,"Adams, Jonathan"
22604,Shots Fired/Illegal Hunting,201900019011,1900,SWANSON DR,CPD,2019/07/08 03:06:36+00,2306,"Belinski, Thomas"
22620,Shots Fired/Illegal Hunting,201900018927,200,E MARKET ST,CPD,2019/07/07 05:00:58+00,0100,"Pittman, Terry"
22636,Shots Fired/Illegal Hunting,201900018811,400,E MAIN ST,CPD,2019/07/06 03:32:08+00,2332,"Houchens, Logan"
22639,Robbery - Armed,201900018772,2100,"MICHIE DR, 120",CPD,2019/07/05 21:16:27+00,1716,"Thelen, Rebecca"
22702,Robbery - Armed,201900018229,1100,5TH ST SW,CPD,2019/06/30 20:02:54+00,1602,"Stein, Nathan"
22721,Shots Fired/Illegal Hunting,201900018072,,LANKFORD AVE / 1ST ST S,CPD,2019/06/29 01:02:49+00,2102,"Gower, Charles"
22785,Shots Fired/Illegal Hunting,201900017422,300,11TH ST NW,CPD,2019/06/23 08:26:11+00,0426,"Zhang, Kai"
22832,Shots Fired/Illegal Hunting,201900016900,800,NASSAU ST,CPD,2019/06/19 07:46:24+00,0346,"Blackwell, Ryan"
22884,Weapons Violations,201900016418,1100,BARRACKS RD,CPD,2019/06/14 19:31:51+00,1531,"Stayments, Ronald "
22916,Shots Fired/Illegal Hunting,201900016195,400,GARRETT ST,CPD,2019/06/12 18:21:58+00,1421,"Gower, Charles"
22926,Shots Fired/Illegal Hunting,201900016140,800,HARDY DR,CPD,2019/06/12 05:00:42+00,0100,"Blackwell, Kyle"
23153,Shots Fired/Illegal Hunting,201900014382,400,GARRETT ST,CPD,2019/05/26 02:48:28+00,2248,"Arreguin, Arron"
23214,Shots Fired/Illegal Hunting,201900013910,400,GARRETT ST,CPD,2019/05/22 03:08:11+00,2308,"Blackwell, Ryan"
23241,Weapons Violations,201900013705,500,HARRIS RD,CPD,2019/05/20 13:45:50+00,0945,"Pendleton, Eric"
23366,Shots Fired/Illegal Hunting,201900012722,500,"HARRIS RD, B",CPD,2019/05/11 02:40:00+00,2240,"Babij, Joshua"
23372,Shots Fired/Illegal Hunting,201900012680,400,GARRETT ST,CPD,2019/05/10 20:58:17+00,1658,"Maney, Edward"
23421,Weapons Violations,201900012265,400,GARRETT ST,CPD,2019/05/07 03:08:02+00,2308,"Roberts, David"
23459,Shots Fired/Illegal Hunting,201900011942,1600,DEL MAR DR,CPD,2019/05/04 02:58:26+00,2258,"Tennyson, James"
23589,Shots Fired/Illegal Hunting,201900010984,100,MONTICELLO AVE,CPD,2019/04/25 02:23:09+00,2223,"Sclafani, William"
23649,Weapons Violations,201900010486,300,E MAIN ST,CPD,2019/04/20 04:24:35+00,0024,"Maney, Edward"
23693,Shots Fired/Illegal Hunting,201900010135,900,"1ST ST S, B",CPD,2019/04/17 12:09:50+00,0809,"Woodzell, Logan"
23729,Shots Fired/Illegal Hunting,201900009931,900,"1ST ST S, A",CPD,2019/04/15 16:33:36+00,1233,"Holley, Barrett"
23883,Shots Fired/Illegal Hunting,201900009041,900,1ST ST S,CPD,2019/04/07 06:09:58+00,0209,"Maney, Edward"
23886,Weapons Violations,201900009037,100,ELLIEWOOD AVE,CPD,2019/04/07 05:26:02+00,0126,"Tennyson, James"
23948,Shots Fired/Illegal Hunting,201900008640,,CONCORD AVE / HARRIS ST,CPD,2019/04/03 18:21:17+00,1421,"Jones, Larry"
24163,Shots Fired/Illegal Hunting,201900007062,500,CAROLINE AVE,CPD,2019/03/19 12:30:28+00,0830,"Lucas, Todd"
24230,Shots Fired/Illegal Hunting,201900006623,700,PROSPECT AVE,CPD,2019/03/15 09:14:00+00,0514,"Blackwell, Kyle"
24463,Shots Fired/Illegal Hunting,201900004703,700,PROSPECT AVE,CPD,2019/02/23 03:16:52+00,2216,"Bise, Collin"
24465,Shots Fired/Illegal Hunting,201900004692,800,HARDY DR,CPD,2019/02/23 01:21:00+00,2021,"Pittman, Terry"
24577,Weapons Violations,201900003953,1500,DAIRY RD,CPD,2019/02/14 18:41:53+00,1341,"Shiflett, Tammy"
24619,Shots Fired/Illegal Hunting,201900003678,700,"PROSPECT AVE, A",CPD,2019/02/11 20:54:14+00,1554,"Bowers, Justin"
24652,Shots Fired/Illegal Hunting,201900003446,800,RIDGE ST,CPD,2019/02/09 01:23:29+00,2023,"Maney, Edward"
